"id","name","region","population","num_cities","urban_ratio","avg_salary","entrepreneur_1000","Population<500","Population_500-1999","Population_2000-9999","Population>=10000","unemployment_rate_95","unemployment_rate_96","crime_rate_95","crime_rate_96"
1,"Hl.m. Praha","Prague",1204953,1,100,12541,167,"0","0","0","1","0.2","0.43","0.2","0.43"
2,"Benesov","central Bohemia",88884,5,46.7,8507,132,"80","26","6","2","1.6","1.85","1.6","1.85"
3,"Beroun","central Bohemia",75232,5,41.7,8980,111,"55","26","4","1","1.9","2.21","1.9","2.21"
4,"Kladno","central Bohemia",149893,6,67.4,9753,109,"63","29","6","2","4.6","5.05","4.6","5.05"
5,"Kolin","central Bohemia",95616,6,51.4,9307,118,"65","30","4","1","3.8","4.43","3.8","4.43"
6,"Kutna Hora","central Bohemia",77963,4,51.5,8546,126,"60","23","4","2","2.9","4.02","2.9","4.02"
7,"Melnik","central Bohemia",94725,6,63.4,9920,130,"38","28","1","3","2.2","2.87","2.2","2.87"
8,"Mlada Boleslav","central Bohemia",112065,8,69.4,11277,127,"95","19","7","1","1.2","1.44","1.2","1.44"
9,"Nymburk","central Bohemia",81344,6,55.3,8899,149,"61","23","4","2","3.3","3.97","3.3","3.97"
10,"Praha - vychod","central Bohemia",92084,5,46.7,10124,141,"55","29","4","3","0.5","0.54","0.5","0.54"
11,"Praha - zapad","central Bohemia",75637,7,36.5,9622,154,"35","36","9","0","0.4","0.59","0.4","0.59"
12,"Pribram","central Bohemia",107870,6,58,8754,137,"84","29","6","1","3.8","4.31","3.8","4.31"
13,"Rakovnik","central Bohemia",53921,2,41.3,8598,123,"61","22","1","1","2.7","3.26","2.7","3.26"
14,"Ceske Budejovice","south Bohemia",177686,9,74.8,10045,135,"69","27","10","1","1.4","1.71","1.4","1.71"
15,"Cesky Krumlov","south Bohemia",58796,5,51.9,9045,124,"22","16","7","1","3.1","3.6","3.1","3.6"
16,"Jindrichuv Hradec","south Bohemia",93931,8,56.9,8427,107,"74","21","10","1","1.1","1.54","1.1","1.54"
17,"Pelhrimov","south Bohemia",74062,7,61.4,8114,119,"99","15","4","2","2.3","2.62","2.3","2.62"
18,"Pisek","south Bohemia",70699,4,65.3,8968,131,"60","13","2","1","2.8","3.35","2.8","3.35"
19,"Prachatice","south Bohemia",51428,4,52.7,8402,120,"50","11","3","1","3.1","3.98","3.1","3.98"
20,"Strakonice","south Bohemia",70646,4,58.4,8547,120,"94","14","3","1","2.6","3.64","2.6","3.64"
21,"Tabor","south Bohemia",103347,7,67,9104,123,"87","16","7","1","1.5","2.07","1.5","2.07"
22,"Domazlice","west Bohemia",58400,6,52.4,8620,100,"65","16","4","1","1.1","1.25","1.1","1.25"
23,"Cheb","west Bohemia",87419,9,85.5,8624,102,"21","11","4","3","1.7","2.66","1.7","2.66"
24,"Karlovy Vary","west Bohemia",122603,8,80,8991,128,"25","21","6","2","1.3","2.01","1.3","2.01"
25,"Klatovy","west Bohemia",88757,10,61.7,8554,113,"60","33","3","2","2.4","2.68","2.4","2.68"
26,"Plzen - mesto","west Bohemia",170449,1,100,10787,131,"0","0","0","1","2.6","3.09","2.6","3.09"
27,"Plzen - jih","west Bohemia",67298,7,43.8,8561,110,"71","19","10","0","0.6","1.29","0.6","1.29"
28,"Plzen - sever","west Bohemia",72541,8,36.9,8594,112,"66","26","10","0","1.6","2.01","1.6","2.01"
29,"Rokycany","west Bohemia",45714,6,55.6,8843,113,"52","10","5","1","2.8","3.6","2.8","3.6"
30,"Sokolov","west Bohemia",94812,10,81.8,9650,100,"15","13","8","2","3.3","3.67","3.3","3.67"
31,"Tachov","west Bohemia",51313,4,59.2,8930,108,"34","12","3","1","3.5","4.2","3.5","4.2"
32,"Ceska Lipa","north Bohemia",105058,10,81,9272,118,"32","19","7","2","2.8","3.22","2.8","3.22"
33,"Decin","north Bohemia",133777,11,84.7,8705,116,"24","17","7","3","5.7","7.61","5.7","7.61"
34,"Chomutov","north Bohemia",125236,5,87.7,9675,100,"28","11","1","4","6.4","7.68","6.4","7.68"
35,"Jablonec n. Nisou","north Bohemia",88768,7,80.5,8867,130,"10","18","5","1","1","1.21","1","1.21"
36,"Liberec","north Bohemia",159617,9,85.2,9198,131,"29","19","8","1","3.3","4.28","3.3","4.28"
37,"Litomerice","north Bohemia",114006,9,62.3,9065,123,"71","26","6","2","4.4","5.39","4.4","5.39"
38,"Louny","north Bohemia",85852,4,59.8,8965,104,"41","23","4","2","7","8.23","7","8.23"
39,"Most","north Bohemia",119895,4,89.9,10446,90,"17","4","3","2","7.3","9.4","7.3","9.4"
40,"Teplice","north Bohemia",128118,8,85.3,9317,97,"9","16","6","3","6.4","7.07","6.4","7.07"
41,"Usti nad Labem","north Bohemia",118650,3,85.6,9832,114,"8","8","5","1","3.3","4.48","3.3","4.48"
42,"Havlickuv Brod","east Bohemia",95907,7,59.1,8388,87,"87","25","5","2","2.4","2.94","2.4","2.94"
43,"Hradec Kralove","east Bohemia",161854,6,76.3,9425,125,"73","21","6","1","1.7","2.5","1.7","2.5"
44,"Chrudim","east Bohemia",105606,7,53,8254,97,"77","26","7","2","2.7","3.76","2.7","3.76"
45,"Jicin","east Bohemia",77917,5,53.5,8390,132,"85","19","6","1","2.2","2.89","2.2","2.89"
46,"Nachod","east Bohemia",112709,10,73.5,8369,117,"48","20","7","3","1.7","2.31","1.7","2.31"
47,"Pardubice","east Bohemia",162580,6,72.8,9538,111,"83","26","5","1","1.5","1.81","1.5","1.81"
48,"Rychnov nad Kneznou","east Bohemia",78955,9,59,9060,124,"50","24","8","1","1.7","2.44","1.7","2.44"
49,"Semily","east Bohemia",75685,9,60.8,8208,155,"31","28","5","1","1.8","2.26","1.8","2.26"
50,"Svitavy","east Bohemia",102609,6,52,8187,94,"75","33","2","3","4.8","5.45","4.8","5.45"
51,"Trutnov","east Bohemia",121947,11,70.5,8541,131,"37","28","7","3","2.5","2.97","2.5","2.97"
52,"Usti nad Orlici","east Bohemia",139012,10,61.9,8363,108,"59","41","8","3","2.5","3.49","2.5","3.49"
53,"Blansko","south Moravia",107911,7,50.9,8240,99,"88","33","6","2","2.5","3.56","2.5","3.56"
54,"Brno - mesto","south Moravia",387570,1,100,9897,140,"0","0","0","1","1.6","1.96","1.6","1.96"
55,"Brno - venkov","south Moravia",157042,9,33.9,8743,111,"49","70","18","0","1.8","2.43","1.8","2.43"
56,"Breclav","south Moravia",124605,8,46,8772,126,"11","42","14","1","4.6","4.98","4.6","4.98"
57,"Hodonin","south Moravia",161954,8,48,8720,116,"21","37","20","3","3.7","4.5","3.7","4.5"
58,"Jihlava","south Moravia",109164,4,63.6,8757,96,"98","16","6","1","3.3","3.95","3.3","3.95"
59,"Kromeriz","south Moravia",108871,6,62.1,8444,106,"41","29","7","2","3.2","3.47","3.2","3.47"
60,"Prostejov","south Moravia",110643,4,51.9,8441,115,"49","41","4","1","3.4","4.48","3.4","4.48"
61,"Trebic","south Moravia",117897,6,53.8,8814,107,"139","28","5","1","4.7","5.74","4.7","5.74"
62,"Uherske Hradiste","south Moravia",145688,5,40.7,8544,109,"22","41","13","2","1.2","1.86","1.2","1.86"
63,"Vyskov","south Moravia",86513,5,50.5,8288,110,"38","36","5","1","3.7","4.52","3.7","4.52"
64,"Zlin","south Moravia",197099,10,74.7,9624,145,"29","41","10","2","1.6","2.31","1.6","2.31"
65,"Znojmo","south Moravia",114200,4,43.7,8403,105,"101","41","4","1","5.7","5.72","5.7","5.72"
66,"Zdar nad Sazavou","south Moravia",125832,5,48.3,8512,102,"151","41","2","3","3.5","4.12","3.5","4.12"
67,"Bruntal","north Moravia",106054,6,63.1,8110,109,"38","25","6","2","5.7","6.55","5.7","6.55"
68,"Frydek - Mistek","north Moravia",228848,6,57.2,9893,96,"15","40","18","2","4","4.72","4","4.72"
69,"Jesenik","north Moravia",42821,3,48.4,8173,124,"4","13","5","1","NA","7.01","NA","7.01"
70,"Karvina","north Moravia",285387,7,89.9,10177,81,"0","2","8","5","6.6","7.75","6.6","7.75"
71,"Novy Jicin","north Moravia",161227,10,69.7,8678,102,"5","35","11","4","5.9","5.57","5.9","5.57"
72,"Olomouc","north Moravia",226122,4,62.6,8994,110,"32","50","7","4","3.8","4.79","3.8","4.79"
73,"Opava","north Moravia",182027,7,56.4,8746,90,"17","49","12","2","3.3","3.74","3.3","3.74"
74,"Ostrava - mesto","north Moravia",323870,1,100,10673,100,"0","0","0","1","4.7","5.44","4.7","5.44"
75,"Prerov","north Moravia",138032,5,64.6,8819,99,"67","30","4","2","5.3","5.66","5.3","5.66"
76,"Sumperk","north Moravia",127369,7,51.2,8369,107,"31","32","13","2","4.7","5.88","4.7","5.88"
77,"Vsetin","north Moravia",148545,4,53.5,8909,113,"8","35","12","3","4","5.56","4","5.56"
